년도,월,순위,타이틀,가수,프로듀서
2020,10,96,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2020,10,98,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2020,10,100,마에스트로 (Maestro),창모 (CHANGMO),CHANGMO
2020,11,1,눈누난나 (NUNU NANA),제시 (Jessi),"유건형, PENOMECO, 전병일, PHILL"
2020,11,3,METEOR,창모 (CHANGMO),CHANGMO
2020,11,4,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda (쿤디판다), 머쉬베놈 (MUSHVENOM)","GroovyRoom, JUSTHIS, Sik-K"
2020,11,5,Downtown Baby,블루 (BLOO),"ROCK IT PRODUCTIONS, BLOO"
2020,11,9,아무노래,지코 (ZICO),"ZICO, Poptime"
2020,11,11,Summer Hate (Feat. 비),지코 (ZICO),"ZICO, Poptime"
2020,11,13,도망가,MINO (송민호),"MINO, 강욱진, Diggy"
2020,11,14,잠이 들어야 (Feat. 헤이즈),로꼬 (Loco),"CODE KUNST, Loco, Heize, Pick!"
2020,11,15,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인 (Wonstein), Chillin Homie (칠린호미), 스카이민혁 (Skyminhyuk)","Slom, Zion.T, GIRIBOY, 박준우"
2020,11,16,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스 (Swings), 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)","CODE KUNST, Paloalto, Pick!"
2020,11,17,광장동에서,창모 (CHANGMO),"CHANGMO, Panda Gomm, Catchup"
2020,11,23,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)","허성현 (Huh), dsel (디젤), 가오가이 (kaogaii), Untell (언텔)","BewhY, GAEKO"
2020,11,28,LINDA (Feat. 윤미래),린다G (Linda G),"CODE KUNST, Pick!, devita, 윤미래"
2020,11,29,너의 하루 (바른연애 길잡이 X 로꼬),로꼬 (Loco),"hoiwave, Loco"
2020,11,31,우리서로사랑하지는말자,기리보이 (GIRIBOY),"GIRIBOY, vibin"
2020,11,32,보자보자,머쉬베놈 (MUSHVENOM),"SLO, MUSHVENOM"
2020,11,35,Error (Feat. Loopy),ASH ISLAND (애쉬 아일랜드),"TOIL, ASH ISLAND, Skinny Brown"
2020,11,37,SOON (Feat. BewhY),다이나믹 듀오 (Dynamicduo),"plusNONE, GAEKO"
2020,11,38,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2020,11,39,G+Jus Freestyle (Prod. GroovyRoom),저스디스 (JUSTHIS),"GroovyRoom, JUSTHIS"
2020,11,40,BAND,"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun)",Cashbanger
2020,11,41,아름다워,창모 (CHANGMO),CHANGMO
2020,11,42,빌었어,창모 (CHANGMO),CHANGMO
2020,11,43,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2020,11,46,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따 (YUMDDA), 딥플로우 (Deepflow), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 사이먼 도미닉 (Simon Dominic)","noisemasterminsu, YUMDDA, Deepflow, 김효은, Huckleberry P"
2020,11,50,깡 Official Remix,"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 김하온 (HAON)","Keymaker, 길, 조용민"
2020,11,52,Paranoid,ASH ISLAND (애쉬 아일랜드),"ASH ISLAND, TOIL"
2020,11,53,사랑은(Feat.원슈타인),마미손 (Mommy Son),"권한얼, Wonstein, Mommy Son"
2020,11,54,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍 (LEESSANG),"Leon Russell, Bonnie Bramlett, Delaney Bramlett, 길, PEEJAY"
2020,11,57,Officially Missing You,긱스 (Geeks),7 Aurelius
2020,11,58,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2020,11,59,왜 이리 시끄러운 것이냐 (Prod. SLO),머쉬베놈 (MUSHVENOM),"SLO, MUSHVENOM"
2020,11,63,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2020,11,65,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2020,11,68,곡예사,조광일 (Gwangil Jo),AHWU
2020,11,70,Trip (Feat. Hannah),릴러말즈 (Leellamarz),"TOIL, Leellamarz, Smob"
2020,11,71,자니 (Feat. Dynamic Duo),프라이머리 (Primary),"GAEKO, Primary"
2020,11,72,She Said (with BIBI),Crush (크러쉬),"Crush, BIBI, Stay Tuned"
2020,11,73,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이 (GIRIBOY),"GIRIBOY, CODE KUNST"
2020,11,75,연기 (With 헤이즈),기리보이 (GIRIBOY),"GIRIBOY, vibin, Heize, GLEAM"
2020,11,76,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
2020,11,77,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2020,11,81,왔다,머쉬베놈 (MUSHVENOM),"TOIL, MUSHVENOM"
2020,11,82,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2020,11,83,400km (Feat. Kid Milli),한요한 (HANYOHAN),"Minit, HANYOHAN"
2020,11,84,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2020,11,87,아낙네,MINO (송민호),"MINO, FUTURE BOUNCE, TEXU"
2020,11,88,가라사대,BewhY (비와이),BewhY
2020,11,90,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2020,11,91,죽일 놈 (Guilty),다이나믹 듀오 (Dynamicduo),"GAEKO, Choiza, Primary"
2020,11,92,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL (토일)","TOIL, Leellamarz, J Way"
