월,순위,타이틀,가수
3,76,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
3,77,팩트 (FACT),코요태
3,78,I NEED U,방탄소년단
3,79,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
3,80,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
3,81,비밀정원,오마이걸 (OH MY GIRL)
3,82,New Face,싸이 (PSY)
3,83,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
3,84,Dejavu,뉴이스트 W
3,85,Rumor,국.슈 (국프의 핫이슈)
3,86,YOU AND I,박봄 (Park Bom)
3,87,너랑 나,아이유
3,88,Save ME,방탄소년단
3,89,그 남자를 떠나,god
3,90,Where R U,마마무 (Mamamoo)
3,91,순정 (純情),코요태
3,92,음오아예 (Um Oh Ah Yeh),마마무 (Mamamoo)
3,93,약속해요 (I.P.U.),Wanna One (워너원)
3,94,Mr. Chu (On Stage),Apink (에이핑크)
3,95,Rookie,Red Velvet (레드벨벳)
3,96,사람들 (With 사무엘),용감한 홍차
3,97,비행기,거북이
3,98,OOH-AHH하게,TWICE (트와이스)
3,99,SIGNAL,TWICE (트와이스)
3,100,벚꽃이 지면,아이오아이 (I.O.I)
4,1,달라달라,ITZY (있지)
4,2,고고베베 (gogobebe),마마무 (Mamamoo)
4,3,멍청이(twit),화사 (Hwa Sa)
4,4,벌써 12시,청하
4,5,비올레타,IZ*ONE (아이즈원)
4,6,봄날,방탄소년단
4,7,YES or YES,TWICE (트와이스)
4,8,FANCY,TWICE (트와이스)
4,9,Love Shot,EXO
4,10,Don't Know What To Do,BLACKPINK
4,11,MILLIONS,WINNER
4,12,Tempo,EXO
4,13,Senorita,(여자)아이들
4,14,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
4,15,Dance The Night Away,TWICE (트와이스)
4,16,누아르 (Noir),선미
4,17,I'm So Hot,모모랜드 (MOMOLAND)
4,18,Universe (별의 언어),황민현
4,19,해야 (Sunrise),여자친구 (GFRIEND)
4,20,사이렌 (Siren),선미
4,21,Forever Young,BLACKPINK
4,22,Roller Coaster,청하
4,23,뿜뿜,모모랜드 (MOMOLAND)
4,24,봄바람,Wanna One (워너원)
4,25,What is Love?,TWICE (트와이스)
4,26,%% (응응),Apink (에이핑크)
4,27,별이 빛나는 밤,마마무 (Mamamoo)
4,28,에너제틱 (Energetic),Wanna One (워너원)
4,29,너나 해 (Egotistic),마마무 (Mamamoo)
4,30,마지막처럼,BLACKPINK
4,31,아주 NICE,세븐틴
4,32,Power Up,Red Velvet (레드벨벳)
4,33,밤 (Time for the moon night),여자친구 (GFRIEND)
4,34,BIRD,하성운
4,35,1도 없어,Apink (에이핑크)
4,36,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
4,37,REALLY REALLY,WINNER
4,38,Heart Shaker,TWICE (트와이스)
4,39,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
4,40,불장난,BLACKPINK
4,41,LIKEY,TWICE (트와이스)
4,42,Love U,청하
4,43,CHEER UP,TWICE (트와이스)
4,44,LATATA,(여자)아이들
4,45,어쩌나,세븐틴
4,46,불타오르네 (FIRE),방탄소년단
4,47,한(一),(여자)아이들
4,48,Bad Boy,Red Velvet (레드벨벳)
4,49,BAAM,모모랜드 (MOMOLAND)
4,50,Decalcomanie (데칼코마니),마마무 (Mamamoo)
4,51,어느날 머리에서 뿔이 자랐다 (CROWN),투모로우바이투게더
4,52,하늘 위로,IZ*ONE (아이즈원)
4,53,가시나,선미
4,54,Why Don't You Know (Feat. 넉살),청하
4,55,TT,TWICE (트와이스)
4,56,쟤가 걔야 (Waggy),마마무 (Mamamoo)
4,57,I NEED U,방탄소년단
4,58,KNOCK KNOCK,TWICE (트와이스)
4,59,좋은 날,아이유
4,60,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends"
4,61,RBB (Really Bad Boy),Red Velvet (레드벨벳)
4,62,하루 끝,아이유
4,63,BOOMERANG (부메랑),Wanna One (워너원)
4,64,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
4,65,스물셋,아이유
4,66,Why,태연 (TAEYEON)
4,67,알러뷰,EXID
4,68,비밀정원,오마이걸 (OH MY GIRL)
4,69,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
4,70,죽겠다 (KILLING ME),iKON
4,71,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
4,72,빙글뱅글 (Bingle Bangle),AOA
4,73,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
4,74,시간을 달려서 (Rough),여자친구 (GFRIEND)
4,75,Mr. Chu (On Stage),Apink (에이핑크)
4,76,주인공,선미
4,77,너랑 나,아이유
4,78,벚꽃이 지면,아이오아이 (I.O.I)
4,79,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
4,80,Airplane,IZ*ONE (아이즈원)
4,81,New Face,싸이 (PSY)
4,82,해바라기,IZ*ONE (아이즈원)
4,83,트라우마 (Trauma),EXO
4,84,BLOSSOM (Prod. Groovyroom),"은하 (EUNHA), 라비 (RAVI)"
4,85,비행기,거북이
4,86,켜줘 (Light),Wanna One (워너원)
4,87,Good to Me,세븐틴
4,88,YOU AND I,박봄 (Park Bom)
4,89,"셋 셀테니 (1, 2, 3!)",승리
4,90,Save ME,방탄소년단
4,91,Rumor,국.슈 (국프의 핫이슈)
4,92,음오아예 (Um Oh Ah Yeh),마마무 (Mamamoo)
4,93,순정 (純情),코요태
4,94,OOH-AHH하게,TWICE (트와이스)
4,95,Gravity,EXO
4,96,Ah-Choo,러블리즈
4,97,DINOSAUR,AKMU (악뮤)
4,98,Dejavu,뉴이스트 W
4,99,Rookie,Red Velvet (레드벨벳)
4,100,Everybody Ready?,Apink (에이핑크)
5,1,FANCY,TWICE (트와이스)
5,2,달라달라,ITZY (있지)
5,3,AH YEAH (아예),WINNER
5,4,벌써 12시,청하
5,5,고고베베 (gogobebe),마마무 (Mamamoo)
5,6,비올레타,IZ*ONE (아이즈원)
5,7,멍청이(twit),화사 (Hwa Sa)
5,8,YES or YES,TWICE (트와이스)
5,9,다섯 번째 계절 (SSFWL),오마이걸 (OH MY GIRL)
5,10,Love Shot,EXO
5,11,Don't Know What To Do,BLACKPINK
5,12,MILLIONS,WINNER
5,13,Tempo,EXO
5,14,Dance The Night Away,TWICE (트와이스)
5,15,Universe (별의 언어),황민현
5,16,BET BET,뉴이스트
5,17,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
5,18,Senorita,(여자)아이들
5,19,I'm So Hot,모모랜드 (MOMOLAND)
5,20,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이
5,21,Roller Coaster,청하
5,22,사이렌 (Siren),선미
5,23,뿜뿜,모모랜드 (MOMOLAND)
5,24,Forever Young,BLACKPINK
5,25,9-TEEN,세븐틴
5,26,Power Up,Red Velvet (레드벨벳)
