발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,VISION,드림캐쳐,,,,
,잃어버렸어,아이러니(IRUN2),,,,
,밤비,다즈비(DAZBEE),,,,
,Your Smile,다니로엘 (Danyloel),,,,
,ILLELLA (일낼라),마마무(Mamamoo),,,,
,Ma Boy (Ma Girl) (Prod. LAS (라스)),원어스 (ONEUS),,,,
,Beautiful LIE,TAN,,,,
,Colors,영재 (Youngjae),,,,
,CIRCUS DA,사공이호(SAGONG_EE_HO),,,,
,장면 (feat. 호현),APR PROJECT,,,,
,Alone (Vocal by 윤다빈),주간믹스테이프 프로젝트,,,,
,HIGH TEEN ROMANCE (하이틴 로맨스),버스터즈,,,,
,오늘 (Farewell),윤지훈,,,,
,내가 선택한 길,김현정,,,,
,날개를 잃어버린 새는,이츠미,,,,
,Mommy,AMOS1,,,,
,lets start,초요,,,,
,아이돌이 되는 시간,아이돌미닛 in 신시아,,,,
,회상,조아콰이어,,,,
,Meaningless,Mfect,,,,
,LA VIE,SOLE(쏠),,,,
,Why I Love,미코로우 (Mykolow),,,,
,Good Night,일곱시반,,,,
,Blue Sky,베이비시스터(Baby Sister),,,,
,"다시, 숨 (Rebreath)",Peach A! (피치아),,,,
,팜므파탈,고담동 고양이,,,,
,Blue sky,ArY,,,,
,그대 내게 다시,이안,,,,
,춤 (Feat. 김윤재),Musist,,,,
,With Me,Blue Place,,,,
,꼴값 (Feat. 주하 of 버블엑스),최진아,,,,
,think of me,ZEZE (제제),,,,
,weird love,Lubless(러블레스),,,,
,EMBER,SO YOUNG,,,,
,런던 일기,Kyel,,,,
,Love Me,Ziodina (지오디나),,,,
,He said,A.Bear,,,,
,헤어진 후에,손진욱,,,,
,LIKE,세리(달샤벳),,,,
,Hey ,MyoU,,,,
,Airbag,SURL(설),,,,
,One And Only (feat. 찡찡서은),커맨더지코,,,,
,호랑이가 쫓아온다 (Uh-Heung),DKZ,,,,
,Guitar Love,올빼미(Owlpemy),,,,
,Bloom (Feat. Moonvee),Aulim,,,,
,Cape,수지 (Suzy),,,,
,이미 슬픈 사랑(풍락),풍락,,,,
,Mi Deh Yah (feat. 쿤타),코카앤버터 (CocaNButter),,,,
,Time Travel,RE:KIDS FUTURE (리키즈 퓨처),,,,
,CRAZY HAZY REMIX,양준일,,,,
,다 같이 춤을 춰요,E.Stone,,,,
,Just Dance,Retrofy,,,,
,CLOUDY,MINTAKHA,,,,
,DIVE WITH YOU,리슨미,,,,
,I Know It's Wrong (Feat. Will Brown),Cafrii(카프리),,,,
,기분 좋은 날,한수연,,,,
,Strawberry Smoothie,Daniel Kim,,,,
,여행 가고 싶어 (Vocal by 오수경),이어폰,,,,
,Sweet and Sour,Yoony Eun(유니 은),,,,
,백야 (Long Live The King),KINGDOM(킹덤),,,,
,영웅,코요태,,,,
,부리나케 (LATIN ver.),엑시(우주소녀),,,,
,Not friend,Joyce Yoo (조이스유),,,,
