발매일,타이틀,아티스트,프로듀서,점수
2022.04.04~2022.04.10,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),nan,0.253885
2022.04.04~2022.04.10,Glitch,권은비,nan,0.0125121
2022.03.28~2022.04.03,봄바람,휘인(Whee In),nan,0.014391
2022.03.28~2022.04.03,BIG LiPS,양준일,nan,0.0129594
2022.03.28~2022.04.03,Real Love,오마이걸(OH MY GIRL),"Ryan S. Jhun,Josh Cumbee,Afshin Salmani,Ilan Kidron,Nat Dunn,AFSHEEN",2.872891
2022.03.28~2022.04.03,Drip,오마이걸(OH MY GIRL),"Steven Lee,Andreas Stone Johansson,Laurell Barker,Sebastian Thott",2.872891
2022.03.28~2022.04.03,버퍼링 (Glitch Mode),NCT DREAM,"Benjamin 55,Alony 55,Sam SZND",0.3718609
2022.03.28~2022.04.03,Arcade,NCT DREAM,"Alexander Karlsson,Alexej Viktorovitch,Dwayne Abernathy Jr.,Harold 'Alawn' Philippon,JeL",0.3718609
2022.03.28~2022.04.03,Fire Alarm,NCT DREAM,"William James McAuley III,Brooke Tomlinson,Jesse Saint John,Rick bridges,Bleu",0.3718609
2022.03.28~2022.04.03,Better Than Gold (지금),NCT DREAM,"Ryan S. Jhun,Kyler Niko,Scott Russell Stoddart",0.3718609
2022.03.21~2022.03.27,선 (Line),안예은,nan,0.002753
2022.03.21~2022.03.27,물어!,백호,nan,0.0455164
2022.03.21~2022.03.27,Feel My Rhythm,Red Velvet (레드벨벳),"Jake K,Maria Marcus,Andreas ?berg,MCK",2.4245809
2022.03.21~2022.03.27,Rainbow Halo,Red Velvet (레드벨벳),"Harvey Mason Jr.,Michael 'R!ot' Wyckoff,Patrick 'J Que' Smith,Britt Burton,DEEZ",2.4245809
2022.03.21~2022.03.27,BAMBOLEO,Red Velvet (레드벨벳),"Jake K,Maria Marcus,Andreas ?berg,MCK",2.4245809
