가수,점수
IMLAY,0.0235878
Keynon'KC'Moore,0.02342
Cedric'Dabenchwarma'Smith,0.02342
DawnElektra,0.023228
紀佳松,0.023228
B.I,0.0230606
김석찬,0.0227762
전준규,0.0227762
ELLY,0.022706
김인형,0.022405
JordanWitzigreuter,0.022405
조슈아,0.022405
TimTan,0.022405
MattTerry,0.022405
JoshMcClelland,0.022405
CameronWalker,0.022405
AlexNese,0.0220415
Elum,0.0218951
VENDORS,0.0215134
유두래곤,0.0213186
AiRPLAY,0.021242
RoyalDive,0.0211338
에릭남(EricNam),0.0209752
싸이(PSY),0.0209136
HotSauce,0.0202005
바닐라맨,0.019694
안지영,0.019694
보란,0.0195495
BottlePaik,0.0195495
이대휘,0.0194998
Naiv,0.019075
다비,0.019075
룬디블루스,0.019075
서동환,0.0187702
Rado,0.0186369
SaraForsberg,0.0186214
유엔,0.0184679
RossGolan,0.018217
Musikality,0.0180705
CommandFreaks,0.0180079
라이머,0.0178088
nomad,0.0178088
핑클(Fin.K.L),0.0177736
임현식,0.0176476
KillDave,0.0175845
PatMorrissey,0.0175845
HannahRobinson,0.017517
RichardPhillips,0.017517
구여름,0.017517
Chendy,0.017517
김진,0.017517
Cutfather,0.017445
MichHansen,0.017445
최준영,0.0173919
TusharApte,0.0173822
Vince,0.0173822
BreadBeat,0.0173605
장우영,0.0173195
KristaSiegfrids,0.0172718
ErikNyholm,0.0172718
KristoferKarlsson,0.0172718
MikeDaley,0.0168942
MitchellOwens,0.0168942
로이도,0.016759
화이트99,0.0166805
우태운,0.0166805
EastWest,0.0166805
SiO2,0.0166805
DJKAESAMA,0.0166795
ParkerJames,0.0163764
SteveAoki,0.0163764
The-Private,0.0162028
1Piece,0.0158937
Ohway!,0.0157642
JisooPark,0.0156738
BlairTaylor,0.0156738
SWEETCH,0.0156551
AaronFresh,0.0155823
BenjaminIngrosso,0.0155565
이정철,0.0155255
미미,0.0155255
소유(SOYOU),0.015375
DannyJones,0.0153202
13,0.0152292
이기광,0.015221
