Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
R3hab,R3hab,,12,0.143413,0.157779,0.5
문스톤,문스톤,,2,0.6,0.666667,0
CharlesHinshaw,CharlesHinshaw,,13,0.172302,0.213719,0
AOA,AOA,,12,0.153723,0.179402,478
후이,후이,,2,0.666667,0.75,0
j-hope,j-hope,,12,0.15767,0.180806,0
LaurenDyson,LaurenDyson,,11,0.178731,0.205959,258.134338
NCT127,NCT127,,12,0.169858,0.21071,2137.917419
핑클(Fin.K.L),핑클(Fin.K.L),,14,0.118213,0.1319,0.5
RolandSpreckley,RolandSpreckley,,12,0.172924,0.194688,0
BXN,BXN,,13,0.151871,0.1682,0
브라더수,브라더수,,12,0.15767,0.180806,0
송성경,송성경,,2,0.666667,0.75,0
VICTON(빅톤),VICTON(빅톤),,1,1,1,6
DevineChannel,DevineChannel,,12,0.15767,0.180806,0
신아녜스,신아녜스,,13,0.136857,0.150526,0
ITZY(있지),ITZY(있지),,10,0.205403,0.252999,7040.040013
박진영,박진영,,11,0.175715,0.200718,59.038634
JamesFoyeIII,JamesFoyeIII,,13,0.149407,0.172762,0
NickyvanderLugtMelsert,NickyvanderLugtMelsert,,15,0.129111,0.14834,0
박수석,박수석,,13,0.133874,0.15296,0
AWA,AWA,,13,0.154816,0.175235,0
Vince,Vince,,14,0.119036,0.139235,0
김도다리,김도다리,,13,0.151871,0.1682,0
쿨(COOL),쿨(COOL),,3,0.428571,0.518519,14
EVERGLOW(에버글로우),EVERGLOW(에버글로우),,12,0.181577,0.212188,713.24484
ZICO,ZICO,,14,0.136545,0.151974,2722.74232
비투비,비투비,,3,0.5625,0.722222,26
Anchor,Anchor,,11,0.195033,0.226012,1004.556325
명카드라이브,명카드라이브,,14,0.120533,0.130781,0
LaurenAquilina,LaurenAquilina,,13,0.149407,0.172762,0
Jay-Keyz,Jay-Keyz,,13,0.154816,0.175235,0
IvanMatias,IvanMatias,,13,0.172302,0.213719,0
에이프릴(APRIL),에이프릴(APRIL),,11,0.180618,0.212803,2515.184139
JustinTranter,JustinTranter,,11,0.1916,0.220151,0
윤명운,윤명운,,16,0.094069,0.10182,0
마마무(Mamamoo),마마무(Mamamoo),,12,0.157773,0.199041,4687.566853
ParkerJames,ParkerJames,,14,0.133352,0.145305,0.25
서연,서연,,3,0.421053,0.479167,0
MitchellOwens,MitchellOwens,,13,0.14524,0.167234,0
임성훈,임성훈,,2,0.666667,0.75,0
DanielCaesar,DanielCaesar,,11,0.189929,0.22489,385.018753
MadisonBeer,MadisonBeer,,17,0.091762,0.108059,0.6
비오,비오,,11,0.197607,0.229471,882.688582
UzoechiEmenike,UzoechiEmenike,,11,0.1916,0.220151,0
SCORE,SCORE,,13,0.149594,0.174675,476
염따,염따,,3,0.461538,0.583333,0
Jjean,Jjean,,12,0.147294,0.159986,0
ScottChesak,ScottChesak,,13,0.14393,0.163862,0
BobiiLewis,BobiiLewis,,11,0.194874,0.238399,1119.266148
VictoriaMonet,VictoriaMonet,,14,0.119036,0.139235,0
유아(오마이걸),유아(오마이걸),,13,0.155318,0.188121,4266
RobGrimaldi,RobGrimaldi,,14,0.119036,0.139235,0
TENZO,TENZO,,11,0.194557,0.223576,0
Francis,Francis,,2,0.6,0.666667,0
PeterStJames,PeterStJames,,12,0.172924,0.194688,0
HautboiRich,HautboiRich,,11,0.194874,0.238399,1119.266148
전준규,전준규,,13,0.133949,0.153274,238.5
한재호,한재호,,13,0.141632,0.154016,0
김준환,김준환,,2,0.666667,0.75,0
WWW,WWW,,2,0.571429,0.625,0
Omega,Omega,,13,0.14393,0.163862,0
GeekBoy,GeekBoy,,13,0.133874,0.15296,0
MINO,MINO,,14,0.115366,0.125308,0
FRANTS,FRANTS,,10,0.200923,0.227205,20182.17435
그루비룸,그루비룸,,1,1,1,1
이효리,이효리,,14,0.120533,0.130781,0
Noise_bo2,Noise_bo2,,5,0.391304,0.475926,0
소유(SOYOU),소유(SOYOU),,1,1,1,3
B.I,B.I,,16,0.094032,0.101298,0
정일훈,정일훈,,4,0.375,0.453704,0
최규성,최규성,,12,0.162483,0.188195,0
BeaMiller,BeaMiller,,15,0.107689,0.12719,72.90347
Jamil'Digi'Chammas,Jamil'Digi'Chammas,,13,0.172302,0.213719,0
탁,탁,,13,0.149407,0.172762,0
EXO,EXO,,12,0.20808,0.304376,27858.08655
이종훈,이종훈,,12,0.162483,0.188195,0
1Piece,1Piece,,12,0.181165,0.214232,0
JinByJin,JinByJin,,13,0.1733,0.218764,3768
AndyLove,AndyLove,,11,0.213649,0.25368,1296.220924
PaulinaCerrilla,PaulinaCerrilla,,10,0.192369,0.21725,0
Vincenzo,Vincenzo,,11,0.167249,0.189317,238.5
임수호,임수호,,9,0.227014,0.265383,4251.376195
AndreaMartin,AndreaMartin,,13,0.172302,0.213719,0
StevenLee,StevenLee,,12,0.181165,0.214232,0
Moonshine,Moonshine,,11,0.190079,0.22385,1061.67893
EricZayne,EricZayne,,12,0.172924,0.194688,0
유영진,유영진,,11,0.200923,0.256417,8449.278439
GALACTIKA,GALACTIKA,,11,0.170463,0.192638,0
김성태,김성태,,5,0.391304,0.475926,0
JADEDJANE,JADEDJANE,,10,0.192369,0.21725,0
김건모,김건모,,13,0.136312,0.158006,0
AppuKrishnan,AppuKrishnan,,12,0.153035,0.170389,0
MajaKeuc,MajaKeuc,,13,0.119036,0.127833,0
이스란,이스란,,10,0.201599,0.234103,2041.603105
한재완,한재완,,11,0.167132,0.187925,0
IU,IU,,12,0.162483,0.188195,0
GabrielaGeneva,GabrielaGeneva,,13,0.14393,0.163862,0
심은지,심은지,,3,0.571429,0.666667,0.6
NoahConrad,NoahConrad,,12,0.176233,0.201009,4710.447082
AdrianMckinnon,AdrianMckinnon,,11,0.19777,0.248942,3752.529076
2PM,2PM,,1,1,1,1
조영수,조영수,,13,0.134099,0.155187,48.714425
씨스타,씨스타,,12,0.167249,0.195179,1180.501898
최현준,최현준,,11,0.194557,0.223576,0
조성현,조성현,,5,0.391304,0.475926,0
Wilbart'Vedo'McCoyIII,Wilbart'Vedo'McCoyIII,,13,0.14524,0.167234,0
JERRYL,JERRYL,,4,0.375,0.453704,0
JeppeLondon,JeppeLondon,,12,0.181165,0.214232,0
김승수,김승수,,11,0.197119,0.23064,1727.559015
AlSwettenham,AlSwettenham,,13,0.133874,0.15296,0
세븐틴,세븐틴,,10,0.183948,0.212737,4700.402225
IMLAY,IMLAY,,14,0.133278,0.146646,0
Onestar,Onestar,,15,0.115311,0.127033,0
ZigzagNote,ZigzagNote,,14,0.133949,0.148768,0
지예준,지예준,,11,0.194557,0.223576,0
박기태,박기태,,11,0.155419,0.170383,0
Chendy,Chendy,,10,0.192369,0.21725,0
JJEvans,JJEvans,,12,0.181165,0.214232,0
강승윤,강승윤,,14,0.115366,0.125308,0
강원석,강원석,,1,1,1,1
비룡,비룡,,14,0.120777,0.141131,503.215462
더보이즈(THEBOYZ),더보이즈(THEBOYZ),,14,0.148205,0.182235,2381.5
NCTU,NCTU,,12,0.166319,0.205486,2106.388849
진영,진영,,12,0.181853,0.218581,1812.363383
코스믹걸,코스믹걸,,13,0.136545,0.160441,397.762247
초신성,초신성,,12,0.153624,0.17801,0
LeagueofLegends,LeagueofLegends,,15,0.10798,0.132061,785.712641
이상민,이상민,,2,0.666667,0.75,0
AllakoiPeete,AllakoiPeete,,13,0.172302,0.213719,0
박우상,박우상,,11,0.173677,0.204065,3075.024542
CharliTaft,CharliTaft,,13,0.172302,0.213719,0
ArthurJ,ArthurJ,,2,0.6,0.666667,0
태민(TAEMIN),태민(TAEMIN),,12,0.175587,0.219985,4903.380721
AnyMasingga,AnyMasingga,,11,0.167132,0.187925,0
이정현,이정현,,2,0.6,0.666667,0
Cristi'Stalone'Gallo,Cristi'Stalone'Gallo,,13,0.172302,0.213719,0
MoZella,MoZella,,13,0.172302,0.213719,0
CazziOpeia,CazziOpeia,,9,0.238072,0.284793,15695.75188
김민기,김민기,,11,0.166667,0.18965,449.588403
오마이걸(OHMYGIRL),오마이걸(OHMYGIRL),,11,0.221145,0.295221,22863.95101
