Id,Label,timeset,Weighted Degree,eigencentrality
이종민,이종민,,0.041112,0.006704
DavidBrown,DavidBrown,,0.022957,0.126881
Rado,Rado,,0.025177,0.007599
1Piece,1Piece,,0.076164,0.036169
GALACTIKA,GALACTIKA,,0.261136,0.017649
LIONCHLD,LIONCHLD,,0.01039,0.005655
EJAE,EJAE,,0.023427,0.065264
박진영,박진영,,0.028829,0.046072
VMP,VMP,,0.01039,0.005655
SUGA,SUGA,,0.426443,0.020205
조성현,조성현,,0.008622,0.004058
한재완,한재완,,0.165537,0.026823
후이,후이,,0.227805,0.03188
HayleyAitken,HayleyAitken,,0.24056,0.106716
PeterStJames,PeterStJames,,0.052751,0.011548
LoganLeeTurner,LoganLeeTurner,,0.009197,0.008357
라이엇게임즈,라이엇게임즈,,0.352122,0.022257
Dokkun,Dokkun,,1.193311,0.073993
비투비,비투비,,0.030163,0.012197
SWEETCH,SWEETCH,,0.020928,0.007511
씨스타,씨스타,,0.323869,0.034305
이채규,이채규,,0.134663,0.009425
인디고,인디고,,0.013387,0.006517
blackedition,blackedition,,0.065452,0.011475
RachaelKennedy,RachaelKennedy,,0.01039,0.005655
SIXC(6crazy),SIXC(6crazy),,0.146274,0.01083
The-Private,The-Private,,0.081014,0.004501
LudwigLindell,LudwigLindell,,0.526879,0.082912
여자친구(GFRIEND),여자친구(GFRIEND),,1.45452,0.055766
DevineChannel,DevineChannel,,0.219298,0.020205
Mussashi,Mussashi,,0.027845,0.004988
이종훈,이종훈,,0.134663,0.009425
박근태,박근태,,0.052117,0.009425
AKMU(악뮤),AKMU(악뮤),,0.010179,0.007481
Zayson,Zayson,,0.021229,0.002598
이민수,이민수,,0.256589,0.016129
EllenBergTollbom,EllenBergTollbom,,0.317868,0.065264
로켓펀치(RocketPunch),로켓펀치(RocketPunch),,0.005467,0.022433
BelleHumble,BelleHumble,,0.106395,0.065264
MUNA,MUNA,,0.007694,0.012766
AdienLewis,AdienLewis,,0.040499,0.01327
LeagueofLegends,LeagueofLegends,,0.140849,0.012717
아이유,아이유,,0.899044,0.038396
DanielCaesar,DanielCaesar,,0.526879,0.082912
AOA,AOA,,0.745633,0.111383
김성태,김성태,,0.008622,0.004058
코스믹사운드,코스믹사운드,,0.040574,0.028553
손영진,손영진,,0.005709,0.004839
붐바스틱,붐바스틱,,0.048702,0.012403
PeterIbsen,PeterIbsen,,0.023401,0.020205
YoungChance,YoungChance,,0.021372,0.002598
청하(CHUNGHA),청하(CHUNGHA),,0.009519,0.044142
C-no,C-no,,0.428063,0.044641
AdrianMckinnon,AdrianMckinnon,,0.54851,0.154116
SaimaMian,SaimaMian,,0.041175,0.009168
BIGBANG(빅뱅),BIGBANG(빅뱅),,0.024242,0.010046
