Id,Label,timeset,Weighted Degree,eigencentrality
(여자)아이들,(여자)아이들,,0.638989,0.0338
LondonJackson,LondonJackson,,0.113115,0.10989
Timothy'Bos'Bullock,Timothy'Bos'Bullock,,0.02504,0.142754
조유리,조유리,,0.195494,0.037156
VictoriaMonet,VictoriaMonet,,0.069516,0.033287
Halsey,Halsey,,0.184999,0.064554
신사동호랭이,신사동호랭이,,0.077525,0.116367
젝스키스,젝스키스,,0.008511,0.004867
SeanAlexander,SeanAlexander,,0.083375,0.209592
72,72,,0.029791,0.138386
teamGALACTIKA*,teamGALACTIKA*,,0.211632,0.046205
JonatanGusmark,JonatanGusmark,,0.112027,0.183978
MosPick,MosPick,,0.055724,0.065517
GabrielBrandes,GabrielBrandes,,0.025421,0.07358
용감한형제,용감한형제,,0.595875,0.01913
HotSauce,HotSauce,,0.040401,0.010897
라붐(LABOUM),라붐(LABOUM),,0.463273,0.108692
NoahConrad,NoahConrad,,0.01928,0.034368
SimonJonasson,SimonJonasson,,0.022956,0.015586
AnnaTimgren,AnnaTimgren,,0.222448,0.305728
Dr.JO,Dr.JO,,0.156589,0.10989
김용신,김용신,,0.002914,0.016462
SlowRabbit,SlowRabbit,,0.001496,0.012331
IVE(아이브),IVE(아이브),,0.06077,0.070618
JennaAndrews,JennaAndrews,,0.229351,0.064554
최현준,최현준,,0.162458,0.028671
JordainJohnson,JordainJohnson,,0.018566,0.053933
StephenKirk,StephenKirk,,0.134655,0.064554
JaydenHenry,JaydenHenry,,0.018566,0.053933
이수현,이수현,,0.019654,0.041427
문별,문별,,0.052848,0.018009
에이프릴(APRIL),에이프릴(APRIL),,0.074834,0.004867
LydiaPaek,LydiaPaek,,0.160716,0.033287
Omega,Omega,,0.176525,0.088821
전소연,전소연,,0.305335,0.010551
이상순,이상순,,0.499476,0.030704
JJean,JJean,,0.062404,0.04979
StevenFranks,StevenFranks,,0.029791,0.138386
류재현,류재현,,0.011038,0.004867
EdwinHonoret,EdwinHonoret,,0.006003,0.013848
Sukiee,Sukiee,,0.024133,0.003154
HautboiRich,HautboiRich,,0.072473,0.142754
창모(CHANGMO),창모(CHANGMO),,0.112131,0.007153
룬디블루스,룬디블루스,,0.03815,0.138386
Fuxxy,Fuxxy,,0.048439,0.069198
WINNER,WINNER,,0.264745,0.027687
심은지,심은지,,0.179747,0.030704
초신성,초신성,,0,0
윤일상,윤일상,,0.02248,0.010194
이동휘,이동휘,,0.592544,0.168484
인피니트,인피니트,,0.026532,0.013114
H.Kenneth,H.Kenneth,,0.076068,0.032389
송희진,송희진,,0.014746,0.010201
LudwigLindell,LudwigLindell,,0.115881,0.110126
소녀시대-태티서(Girls'Generation-TTS),소녀시대-태티서(Girls'Generation-TTS),,0.051822,0.01777
GabrielaGeneva,GabrielaGeneva,,0.176525,0.088821
